X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
943;155;0.4911984;0.1438639;0.4911984;0.1438639;701.4;0.194622;False;11/21/2025 3:40:50 PM:152;1763710850152;;
940;379;0.4900174;0.3514085;0.4746452;0.5490724;688.1;0.210499;False;11/21/2025 3:40:50 PM:248;1763710850248;;
925;453;0.482133;0.4202631;0.436351;0.5549762;679.1;0.2027894;False;11/21/2025 3:40:50 PM:314;1763710850314;;
925;446;0.4820519;0.4137615;0.4740325;0.3275559;669.4;0.2036612;False;11/21/2025 3:40:50 PM:364;1763710850364;;
925;485;0.4819281;0.4494077;0.4683724;0.5608962;665.0;0.2251239;False;11/21/2025 3:40:50 PM:413;1763710850413;;
908;514;0.4729315;0.4763165;0.4170349;0.5737234;659.2;0.2171085;False;11/21/2025 3:40:50 PM:466;1763710850466;;
897;517;0.4672312;0.4793964;0.4105403;0.5174544;659.3;0.214441;False;11/21/2025 3:40:50 PM:501;1763710850501;;
897;499;0.4672343;0.4625552;0.4673394;0.3272479;656.5;0.233301;False;11/21/2025 3:40:50 PM:526;1763710850526;;
894;507;0.465825;0.4700238;0.427351;0.5517034;659.3;0.2108;False;11/21/2025 3:40:50 PM:548;1763710850548;;
891;514;0.4643825;0.4761342;0.4263537;0.5471494;661.8;0.2120764;False;11/21/2025 3:40:50 PM:575;1763710850575;;
894;517;0.4656333;0.4794405;0.484268;0.5332911;663.7;0.2063735;False;11/21/2025 3:40:50 PM:601;1763710850601;;
892;501;0.4649844;0.4644427;0.4362982;0.3397829;663.2;0.2071861;False;11/21/2025 3:40:50 PM:624;1763710850624;;
854;492;0.4451656;0.4556141;0.3306574;0.3548854;662.8;0.2313769;False;11/21/2025 3:40:50 PM:646;1763710850646;;
830;488;0.4325953;0.4518723;0.3361359;0.3792818;662.3;0.2329185;False;11/21/2025 3:40:50 PM:665;1763710850665;;
812;484;0.4230142;0.4488285;0.3362707;0.3792798;661.9;0.2333595;False;11/21/2025 3:40:50 PM:684;1763710850684;;
734;462;0.3826486;0.4284633;0.2940797;0.333564;665.2;0.2146088;False;11/21/2025 3:40:50 PM:757;1763710850757;;
719;459;0.3746155;0.4255548;0.2983037;0.3510997;668.1;0.2112582;False;11/21/2025 3:40:50 PM:776;1763710850776;;
774;459;0.4031908;0.4250035;0.4444738;0.394295;667.0;0.2227471;False;11/21/2025 3:40:51 PM:255;1763710851255;;
787;459;0.4101256;0.4250946;0.4917133;0.4288143;666.0;0.2171554;False;11/21/2025 3:40:51 PM:274;1763710851274;;
799;479;0.4162667;0.4439973;0.4915595;0.5789524;666.5;0.2157555;False;11/21/2025 3:40:51 PM:295;1763710851295;;
810;492;0.422252;0.4556802;0.4969887;0.5611735;666.9;0.2462429;False;11/21/2025 3:40:51 PM:316;1763710851316;;
819;503;0.4270516;0.4662837;0.4973804;0.571172;667.1;0.2477094;False;11/21/2025 3:40:51 PM:335;1763710851335;;
824;524;0.4295374;0.4854267;0.4843689;0.6259938;666.1;0.2310759;False;11/21/2025 3:40:51 PM:356;1763710851356;;
829;540;0.4318643;0.5004274;0.4868771;0.6274673;665.2;0.2316035;False;11/21/2025 3:40:51 PM:375;1763710851375;;
813;549;0.423534;0.509064;0.3624876;0.6030707;665.4;0.1988761;False;11/21/2025 3:40:51 PM:397;1763710851397;;
798;556;0.4160492;0.5149826;0.3553589;0.5970672;667.9;0.2140607;False;11/21/2025 3:40:51 PM:416;1763710851416;;
784;561;0.4086805;0.519596;0.3435995;0.5982153;670.1;0.2144696;False;11/21/2025 3:40:51 PM:434;1763710851434;;
784;561;0.4087842;0.5201446;0.4226329;0.5467324;667.4;0.2251664;False;11/21/2025 3:40:51 PM:454;1763710851454;;
784;564;0.4087034;0.5225894;0.4059399;0.5795239;668.8;0.2117273;False;11/21/2025 3:40:51 PM:475;1763710851475;;
784;565;0.408599;0.5238596;0.4044714;0.5696923;670.1;0.2121807;False;11/21/2025 3:40:51 PM:493;1763710851493;;
784;567;0.4085505;0.5255568;0.4061802;0.5795304;671.2;0.2120266;False;11/21/2025 3:40:51 PM:511;1763710851511;;
790;570;0.4118042;0.528371;0.4661613;0.5950463;670.4;0.1953607;False;11/21/2025 3:40:51 PM:531;1763710851531;;
795;573;0.414484;0.5307152;0.4662399;0.5950443;669.7;0.1954481;False;11/21/2025 3:40:51 PM:550;1763710851550;;
790;574;0.4114601;0.5321334;0.3728571;0.5850417;668.7;0.2158076;False;11/21/2025 3:40:51 PM:571;1763710851571;;
790;575;0.4115104;0.5324697;0.4187273;0.5669522;668.1;0.2469299;False;11/21/2025 3:40:51 PM:590;1763710851590;;
790;575;0.4115532;0.5327614;0.4190038;0.5669335;667.5;0.2473973;False;11/21/2025 3:40:51 PM:609;1763710851609;;
797;576;0.4151269;0.5340276;0.4723922;0.5891178;668.4;0.2036112;False;11/21/2025 3:40:51 PM:628;1763710851628;;
802;577;0.4182181;0.5351477;0.4726996;0.58911;669.1;0.2039447;False;11/21/2025 3:40:51 PM:646;1763710851646;;
808;585;0.4212631;0.5419378;0.4732563;0.6446303;666.7;0.2240573;False;11/21/2025 3:40:51 PM:668;1763710851668;;
810;586;0.4222592;0.5430131;0.4582542;0.5986068;667.8;0.2456372;False;11/21/2025 3:40:51 PM:688;1763710851688;;
810;587;0.422358;0.543548;0.4325135;0.590852;668.7;0.2468415;False;11/21/2025 3:40:51 PM:707;1763710851707;;
814;602;0.4243818;0.5575733;0.4710568;0.7036824;659.3;0.2462229;False;11/21/2025 3:40:51 PM:727;1763710851727;;
814;603;0.4244396;0.5584293;0.4446806;0.6126747;659.2;0.2603706;False;11/21/2025 3:40:51 PM:747;1763710851747;;
815;603;0.4245046;0.5591772;0.4451367;0.6126267;659.1;0.2610935;False;11/21/2025 3:40:51 PM:767;1763710851767;;
768;603;0.4003771;0.5590907;0.2848707;0.5561697;657.8;0.2094284;False;11/21/2025 3:40:51 PM:785;1763710851785;;
738;603;0.3845485;0.5583966;0.2908522;0.5394986;656.6;0.2100089;False;11/21/2025 3:40:51 PM:804;1763710851804;;
